"","symbol","tair","top_spear_cor"
"AT2G15910","None","AT2G15910",0.0734634743809435
"AT2G11890","TTM3","AT2G11890",0.0734612260424073
"AT4G33940","None","AT4G33940",0.0734612260424073
"AT5G55230","MAP65-1","AT5G55230",0.0734549970970509
"AT5G66770","None","AT5G66770",0.0734497586255714
"AT1G76260","DWA2","AT1G76260",0.073445696346781
"AT1G08000","GATA10","AT1G08000",0.0734374151627756
"AT3G57910","None","AT3G57910",0.0734374151627756
"AT2G23530","None","AT2G23530",0.0734344876895722
"AT4G25390","None","AT4G25390",0.0734344876895722
"AT4G35800","RPB1","AT4G35800",0.0734343187106369
"AT1G77080","MAF1","AT1G77080",0.0734266409626224
"AT4G14510","CFM3B","AT4G14510",0.073417776219271
"AT2G19600","KEA4","AT2G19600",0.0734122404018903
"AT5G18860","NSH3","AT5G18860",0.0734118740909519
"AT5G66450","LPPEPSILON2","AT5G66450",0.0734118740909519
"AT1G02930","GSTF6","AT1G02930",0.073408365003343
"AT1G37130","NR2","AT1G37130",0.073408365003343
"AT1G67570","None","AT1G67570",0.073408365003343
"AT1G72470","EXO70D1","AT1G72470",0.073408365003343
"AT1G80745","None","AT1G80745",0.073408365003343
"AT2G00410","None","AT2G00410",0.073408365003343
"AT2G26870","NPC2","AT2G26870",0.073408365003343
"AT2G40000","HSPRO2","AT2G40000",0.073408365003343
"AT3G11650","NHL2","AT3G11650",0.073408365003343
"AT3G25610","ALA10","AT3G25610",0.073408365003343
"AT5G14570","NRT2.7","AT5G14570",0.073408365003343
"AT5G61370","None","AT5G61370",0.073408365003343
"AT1G07440","None","AT1G07440",0.0733995414682598
"AT3G05020","ATACP1","AT3G05020",0.0733995414682598
"AT1G04425","None","AT1G04425",0.0733845863403407
"AT3G55030","PGPS2","AT3G55030",0.0733845863403407
"AT5G49940","NFU2","AT5G49940",0.0733728925582052
"AT3G25530","GR1","AT3G25530",0.0733662408481402
"AT4G20960","PYRD","AT4G20960",0.0733624733764895
"AT5G44600","None","AT5G44600",0.0733584328299957
"AT4G15802","HSBP","AT4G15802",0.0733549199134299
"AT4G21300","None","AT4G21300",0.0733541825911409
"AT4G29140","ADS1","AT4G29140",0.0733541825911409
"AT1G69910","None","AT1G69910",0.0733511190224185
"AT2G35450","None","AT2G35450",0.0733511190224185
"AT4G13460","SUVH9","AT4G13460",0.0733467253472361
"AT4G36470","None","AT4G36470",0.0733467253472361
"AT1G55152","None","AT1G55152",0.0733416175671805
"AT1G76560","CP12-3","AT1G76560",0.0733416175671805
"AT2G20310","RIN13","AT2G20310",0.0733416175671805
"AT2G35820","None","AT2G35820",0.0733416175671805
"AT4G10390","None","AT4G10390",0.0733416175671805
"AT1G31300","None","AT1G31300",0.07333617890576
"AT2G30330","BLOS1","AT2G30330",0.0733326709766438
"AT5G21170","KIN&#946;1","AT5G21170",0.073320128444516
"AT1G13090","CYP71B28","AT1G13090",0.0733180882450581
"AT3G15340","PPI2","AT3G15340",0.0733180882450581
"AT5G08200","None","AT5G08200",0.0733180882450581
"AT5G59450","None","AT5G59450",0.0733180882450581
"AT1G52520","FRS6","AT1G52520",0.0733072486960081
"AT1G14850","NUP155","AT1G14850",0.0732988864552741
"AT1G21600","PTAC6","AT1G21600",0.0732988864552741
"AT5G44660","None","AT5G44660",0.0732883346699528
"AT1G04160","XIB","AT1G04160",0.0732814549688641
"AT1G15250","None","AT1G15250",0.0732814549688641
"AT1G29150","RPN6","AT1G29150",0.0732814549688641
"AT1G70090","LGT8","AT1G70090",0.0732814549688641
"AT1G75210","None","AT1G75210",0.0732814549688641
"AT2G23780","LRX4","AT2G23780",0.0732814549688641
"AT2G29420","GSTU7","AT2G29420",0.0732814549688641
"AT3G09800","None","AT3G09800",0.0732814549688641
"AT4G37550","None","AT4G37550",0.0732814549688641
"AT4G12760","None","AT4G12760",0.0732436967764524
"AT1G26440","UPS5","AT1G26440",0.0732386030245734
"AT2G40290","None","AT2G40290",0.073232269929588
"AT2G27470","NF-YB11","AT2G27470",0.0732320197163112
"AT5G14250","FUS11","AT5G14250",0.0732320197163112
"AT2G01750","MAP70-3","AT2G01750",0.0732195418895816
"AT1G64190","PGD1","AT1G64190",0.0732195020439876
"AT5G51960","None","AT5G51960",0.0732195020439876
"AT1G42470","ATNPC1","AT1G42470",0.0732172853876918
"AT5G14040","PHT3;1","AT5G14040",0.073210399954635
"AT1G04760","VAMP726","AT1G04760",0.0732043283432682
"AT3G27990","None","AT3G27990",0.0732043283432682
"AT5G13060","ABAP1","AT5G13060",0.0732043283432682
"AT5G27610","ATALY1","AT5G27610",0.0732043283432682
"AT5G64170","LNK1","AT5G64170",0.0732043283432682
"AT1G30590","None","AT1G30590",0.0731985739945586
"AT3G15000","RIP1","AT3G15000",0.0731721982416699
"AT1G72370","RPSAA","AT1G72370",0.0731569484690114
"AT3G11200","AL2","AT3G11200",0.0731500340341269
"AT3G05120","GID1A","AT3G05120",0.0731443385070111
"AT3G51180","None","AT3G51180",0.0731434013287746
"AT4G23770","None","AT4G23770",0.0731434013287746
"AT5G67290","None","AT5G67290",0.0731434013287746
"AT1G05030","None","AT1G05030",0.0731432773869681
"AT4G03560","TPC1","AT4G03560",0.0731354667385339
"AT2G21290","None","AT2G21290",0.0731282812862198
"AT5G43320","CKL8","AT5G43320",0.0731234190464381
"AT4G10170","None","AT4G10170",0.0731187552011832
"AT1G80490","TPR1","AT1G80490",0.0730941452840937
"AT4G36050","APE2","AT4G36050",0.0730936700528674
"AT1G15390","PDF1A","AT1G15390",0.0730925699374243
"AT2G16800","None","AT2G16800",0.0730925699374243
"AT2G36250","FTSZ2-1","AT2G36250",0.0730858997748539
"AT3G45040","EVN","AT3G45040",0.0730855524822155
"AT4G12290","CUAO","AT4G12290",0.0730855524822155
"AT4G17830","ATNAOD","AT4G17830",0.0730855524822155
"AT5G55860","TREPH1","AT5G55860",0.0730855524822155
"AT1G17560","HLL","AT1G17560",0.0730696362532848
"AT1G72450","TIFY11B","AT1G72450",0.0730624147300355
"AT2G31190","WXR1","AT2G31190",0.0730624147300355
"AT4G26700","FIM1","AT4G26700",0.0730624147300355
"AT5G57590","BIO1","AT5G57590",0.0730548594855476
"AT3G12360","ITN1","AT3G12360",0.0730524770017115
"AT5G42480","ARC6","AT5G42480",0.0730524770017115
"AT4G34100","SUD1","AT4G34100",0.0730438434296478
"AT4G37680","HHP4","AT4G37680",0.0730438434296478
"AT5G63770","DGK2","AT5G63770",0.0730438434296478
"AT3G46210","None","AT3G46210",0.0730318349004645
"AT1G01140","SNRK3.12","AT1G01140",0.0730310478638721
"AT5G65750","None","AT5G65750",0.0730310478638721
"AT3G08740","None","AT3G08740",0.0730255577342899
"AT4G27910","SDG16","AT4G27910",0.0730255577342899
"AT4G33080","None","AT4G33080",0.0730095586069866
"AT5G27660","PARK13","AT5G27660",0.072994536428708
"AT1G29630","None","AT1G29630",0.0729897673056935
"AT1G04810","None","AT1G04810",0.072989269947138
"AT4G28730","GRXC5","AT4G28730",0.0729877074459209
"AT2G23755","None","AT2G23755",0.072984246025052
"AT5G49610","None","AT5G49610",0.072984246025052
"AT1G10050","None","AT1G10050",0.072984195247405
"AT3G59140","MRP14","AT3G59140",0.072984195247405
"AT2G05380","GRP3S","AT2G05380",0.0729774587514782
"AT4G38690","None","AT4G38690",0.0729608178905728
"AT4G13050","FATA2","AT4G13050",0.0729531789306774
"AT5G12040","None","AT5G12040",0.072951770096079
"AT3G22660","EBP2","AT3G22660",0.0729472549085574
"AT5G24770","VSP2","AT5G24770",0.0729456756641117
"AT5G49215","None","AT5G49215",0.0729431150109725
"AT5G66180","TRM4G","AT5G66180",0.0729330378781822
"AT3G17717","None","AT3G17717",0.0729306459073311
"AT5G60160","DAP1","AT5G60160",0.0729231417896939
"AT5G35750","HK2","AT5G35750",0.0729209737531172
"AT1G04340","None","AT1G04340",0.0729156574513994
"AT2G35470","None","AT2G35470",0.0729156574513994
"AT5G58640","None","AT5G58640",0.0729156574513994
"AT4G18670","LRX5","AT4G18670",0.0729144240872387
"AT4G39470","None","AT4G39470",0.0729012661930407
"AT5G50430","UBC33","AT5G50430",0.0729012661930407
"AT3G51830","SAC8","AT3G51830",0.0728995747589623
"AT1G24100","UGT74B1","AT1G24100",0.0728974444798074
"AT1G53520","FAP3","AT1G53520",0.0728974444798074
"AT1G69935","SHW1","AT1G69935",0.0728974444798074
"AT1G75270","DHAR2","AT1G75270",0.0728974444798074
"AT2G39290","PGS1","AT2G39290",0.0728974444798074
"AT2G39840","TOPP4","AT2G39840",0.0728974444798074
"AT2G44140","ATG4A","AT2G44140",0.0728974444798074
"AT4G10920","KELP","AT4G10920",0.0728974444798074
"AT5G16590","LRR1","AT5G16590",0.0728974444798074
"AT1G23950","None","AT1G23950",0.0728930640826723
"AT1G28250","None","AT1G28250",0.0728930640826723
"AT2G04550","IBR5","AT2G04550",0.0728930640826723
"AT3G58460","RBL15","AT3G58460",0.0728930640826723
"AT4G29910","ORC5","AT4G29910",0.0728930640826723
"AT2G30390","FC2","AT2G30390",0.0728886633214191
"AT3G23070","CFM3A","AT3G23070",0.0728886633214191
"AT1G33290","None","AT1G33290",0.0728883186506113
"AT2G31790","None","AT2G31790",0.0728845191071672
"AT3G62510","None","AT3G62510",0.0728845191071672
"AT3G55080","None","AT3G55080",0.072869208871316
"AT2G38800","None","AT2G38800",0.072864634171543
"AT1G72125","NPF5.13","AT1G72125",0.0728636073328327
"AT2G26695","None","AT2G26695",0.0728636073328327
"AT4G23880","None","AT4G23880",0.0728636073328327
"AT4G25940","PICALM2B","AT4G25940",0.0728636073328327
"AT5G03150","JKD","AT5G03150",0.0728545656001115
"AT5G35790","G6PD1","AT5G35790",0.0728545396592037
"AT1G52570","PLDALPHA2","AT1G52570",0.0728519454784338
"AT1G55510","BCDH","AT1G55510",0.0728519454784338
"AT2G26710","CYP734A1","AT2G26710",0.0728519454784338
"AT3G51040","RTH","AT3G51040",0.0728504042112759
"AT4G05520","EHD2","AT4G05520",0.0728493856157874
"AT4G13720","None","AT4G13720",0.0728407585301707
"AT4G11670","None","AT4G11670",0.0728387500857064
"AT2G19730","None","AT2G19730",0.0728366008592925
"AT5G37370","ATSRL1","AT5G37370",0.0728316640746669
"AT4G01050","TROL","AT4G01050",0.0728280151211133
"AT5G66200","ARO2","AT5G66200",0.0728242867311486
"AT2G25870","ATYBEY","AT2G25870",0.0728092693770837
"AT5G16290","VAT1","AT5G16290",0.0728092693770837
"AT5G63200","None","AT5G63200",0.0728047571527416
"AT1G66410","CAM4","AT1G66410",0.0728028801754154
"AT1G07030","None","AT1G07030",0.072787150495707
"AT1G27921","None","AT1G27921",0.0727860775967268
"AT5G46250","LARP6A","AT5G46250",0.0727712946349445
"AT1G47290","AT3BETAHSD/D1","AT1G47290",0.0727506506435411
"AT3G51270","None","AT3G51270",0.0727499580646503
"AT5G66030","GRIP","AT5G66030",0.0727487671386768
"AT2G02570","None","AT2G02570",0.0727486357425729
"AT1G05730","None","AT1G05730",0.0727456201866326
"AT1G31760","SWIB5","AT1G31760",0.0727456201866326
"AT1G34380","OEX2","AT1G34380",0.0727456201866326
"AT2G25080","GPXL1","AT2G25080",0.0727456201866326
"AT3G29370","P1R3","AT3G29370",0.0727456201866326
"AT5G62220","XLT2","AT5G62220",0.0727456201866326
"AT2G43030","PRPL3","AT2G43030",0.072742515735446
"AT3G58620","TTL4","AT3G58620",0.0727387853366253
"AT4G13670","PTAC5","AT4G13670",0.0727284227854505
"AT4G11120","None","AT4G11120",0.0727249556397391
"AT3G06530","None","AT3G06530",0.0727225302628787
"AT1G08680","ZIGA4","AT1G08680",0.072710506357707
"AT1G02020","None","AT1G02020",0.0727103398919269
"AT1G07400","None","AT1G07400",0.0727103398919269
"AT2G04850","None","AT2G04850",0.0727103398919269
"AT2G37070","GPT1","AT2G37070",0.0727103398919269
"AT2G38720","MAP65-5","AT2G38720",0.0727103398919269
"AT2G44450","BGLU15","AT2G44450",0.0727103398919269
"AT3G17626","None","AT3G17626",0.0727103398919269
"AT4G03130","None","AT4G03130",0.0727103398919269
"AT4G24860","None","AT4G24860",0.0727103398919269
"AT4G32220","None","AT4G32220",0.0727103398919269
"AT5G02220","SMR4","AT5G02220",0.0727103398919269
"AT5G18950","None","AT5G18950",0.0727103398919269
"AT5G19840","None","AT5G19840",0.0727103398919269
"AT5G28380","None","AT5G28380",0.0727103398919269
"AT5G40410","None","AT5G40410",0.0727103398919269
"AT5G60142","None","AT5G60142",0.0727103398919269
"AT4G32820","CABIN1","AT4G32820",0.0727057608180519
"AT2G15570","TRX-M3","AT2G15570",0.0727046027243768
"AT1G76570","LHCB7","AT1G76570",0.0727031074353026
"AT5G45170","None","AT5G45170",0.0727031074353026
"AT4G24290","None","AT4G24290",0.0726953180787168
"AT1G03457","BRN2","AT1G03457",0.0726934549325463
"AT4G25450","NAP8","AT4G25450",0.0726934549325463
"AT1G16020","CCZ1A","AT1G16020",0.0726925070521675
"AT1G47200","WPP2","AT1G47200",0.0726925070521675
"AT4G09000","GRF1","AT4G09000",0.0726924356588377
"AT1G29760","SEIPIN2","AT1G29760",0.0726806613366498
"AT1G78860","GAL2","AT1G78860",0.0726806613366498
"AT2G34670","None","AT2G34670",0.0726806613366498
"AT1G24460","TNO1","AT1G24460",0.0726773377495115
"AT1G69620","RPL34","AT1G69620",0.0726474890529906
"AT5G17710","EMB1241","AT5G17710",0.0726385806943569
"AT1G68760","NUDX1","AT1G68760",0.0726328719316638
"AT2G18735","None","AT2G18735",0.0726328719316638
"AT2G28390","MON1","AT2G28390",0.0726328719316638
"AT3G53110","LOS4","AT3G53110",0.0726328719316638
"AT3G58530","None","AT3G58530",0.0726328719316638
"AT4G02840","SMD1B","AT4G02840",0.0726328719316638
"AT5G18440","NUFIP","AT5G18440",0.0726328719316638
"AT5G58230","MSI1","AT5G58230",0.0726328719316638
"AT1G78420","DA2","AT1G78420",0.0726154284838653
"AT2G30460","UXT2","AT2G30460",0.0726151556959741
"AT4G34980","SLP2","AT4G34980",0.0726107468042839
"AT5G55200","MGE1","AT5G55200",0.0726047034320531
"AT1G10930","RECQ4A","AT1G10930",0.07259408409848
"AT3G19570","SCO3","AT3G19570",0.0725879657924458
"AT1G69800","None","AT1G69800",0.0725825561502817
"AT3G45780","RPT1","AT3G45780",0.0725825561502817
"AT5G19080","VBP1","AT5G19080",0.0725825561502817
"AT1G28150","None","AT1G28150",0.072581836979726
"AT2G45290","TKL2","AT2G45290",0.0725787810738708
"AT3G42630","None","AT3G42630",0.0725787810738708
"AT3G06700","None","AT3G06700",0.0725697539451785
"AT5G60940","CSTF50","AT5G60940",0.0725668485283792
"AT2G26580","YAB5","AT2G26580",0.0725666474800086
"AT3G29650","None","AT3G29650",0.0725666474800086
"AT3G49370","None","AT3G49370",0.0725666474800086
"AT5G10030","TGA4","AT5G10030",0.0725666474800086
"AT5G15845","None","AT5G15845",0.0725666474800086
"AT3G47370","None","AT3G47370",0.0725645725221139
"AT5G63370","CDKG1","AT5G63370",0.0725635396057293
"AT2G02560","TIP120","AT2G02560",0.0725567439930535
"AT5G21990","TPR7","AT5G21990",0.0725567439930535
"AT5G46470","RPS6","AT5G46470",0.0725567439930535
"AT5G20040","IPT9","AT5G20040",0.0725480794232128
"AT1G69210","None","AT1G69210",0.0725448698559997
"AT5G18520","CAND7","AT5G18520",0.0725448698559997
"AT5G59160","TOPP2","AT5G59160",0.0725448698559997
"AT3G54920","PMR6","AT3G54920",0.072539837302862
"AT3G49601","None","AT3G49601",0.0725305857345869
"AT2G45460","None","AT2G45460",0.0725299365817314
"AT1G78730","None","AT1G78730",0.0725219715138531
"AT3G45640","MPK3","AT3G45640",0.0725219715138531
"AT4G00231","MEE50","AT4G00231",0.0725190696694821
"AT1G78020","FLZ6","AT1G78020",0.0725090811240581
"AT2G03130","None","AT2G03130",0.072508578513532
"AT1G14400","UBC1","AT1G14400",0.0725043771894354
"AT1G67300","None","AT1G67300",0.0725043771894354
"AT3G12390","None","AT3G12390",0.0725029136959718
"AT1G04690","KV-BETA1","AT1G04690",0.0724928567651257
"AT2G23390","None","AT2G23390",0.0724928567651257
"AT4G16520","ATG8F","AT4G16520",0.0724928567651257
"AT4G38800","MTN1","AT4G38800",0.0724879874754609
"AT5G53620","None","AT5G53620",0.0724830316470048
"AT3G05280","None","AT3G05280",0.0724795462131783
"AT2G30960","None","AT2G30960",0.0724783728521231
"AT3G21110","PURC","AT3G21110",0.0724783728521231
"AT3G13845","None","AT3G13845",0.0724734474156619
"AT3G16320","CDC27A","AT3G16320",0.0724734474156619
"AT5G41050","None","AT5G41050",0.0724734474156619
"AT4G33030","SQD1","AT4G33030",0.0724725457333515
"AT1G51590","MNS1","AT1G51590",0.0724605541075931
"AT2G04235","None","AT2G04235",0.0724605541075931
"AT1G09960","SUT4","AT1G09960",0.0724587178988446
"AT1G20630","CAT1","AT1G20630",0.072457350528218
"AT4G09550","GIP1A","AT4G09550",0.072457350528218
"AT2G20495","None","AT2G20495",0.0724557417499642
"AT4G22260","PTOX","AT4G22260",0.0724557417499642
"AT4G09720","RABG3A","AT4G09720",0.0724553749693505
"AT5G17670","None","AT5G17670",0.0724553749693505
"AT2G23520","None","AT2G23520",0.0724513854268821
"AT3G17750","DYRKP-1","AT3G17750",0.0724513854268821
"AT5G06950","TGA2","AT5G06950",0.0724513854268821
"AT3G25410","None","AT3G25410",0.072448681854639
"AT5G27840","TOPP8","AT5G27840",0.072448681854639
"AT1G17470","DRG1-2","AT1G17470",0.0724485513880892
"AT1G31420","FEI1","AT1G31420",0.0724485513880892
"AT2G22530","None","AT2G22530",0.0724426950333176
"AT1G25220","WEI7","AT1G25220",0.0724293243217687
"AT5G47160","None","AT5G47160",0.0724293243217687
"AT3G07960","PIP5K6","AT3G07960",0.0724287849319814
"AT3G23660","ATSEC23E","AT3G23660",0.0724287849319814
"AT3G02210","COBL1","AT3G02210",0.0724128887669897
"AT1G22950","ICU11","AT1G22950",0.0723978619005463
"AT1G44170","ALDH4","AT1G44170",0.0723978619005463
"AT2G06925","PLA2-ALPHA","AT2G06925",0.0723978619005463
"AT5G27150","NHX1","AT5G27150",0.0723978619005463
"AT1G15930","None","AT1G15930",0.0723930513459293
"AT3G62620","None","AT3G62620",0.0723837326466178
"AT4G27310","BBX28","AT4G27310",0.0723695786260627
"AT4G30490","None","AT4G30490",0.0723695786260627
"AT2G37035","None","AT2G37035",0.0723625893094485
"AT3G50810","CASPL5C2","AT3G50810",0.0723625893094485
"AT4G23180","RLK4","AT4G23180",0.0723612597521838
"AT2G24970","None","AT2G24970",0.0723482879171976
"AT1G31930","XLG3","AT1G31930",0.0723361010411128
"AT4G36530","None","AT4G36530",0.0723309101226704
"AT5G24170","None","AT5G24170",0.0723309101226704
"AT1G10130","ECA3","AT1G10130",0.0723300968249464
"AT5G53400","BOB1","AT5G53400",0.0723271700219764
"AT4G37280","MRG1","AT4G37280",0.072318615399193
"AT1G13050","None","AT1G13050",0.0723139169470304
"AT5G53940","None","AT5G53940",0.0723139169470304
"AT1G48440","None","AT1G48440",0.0723109003601296
"AT2G21580","None","AT2G21580",0.0723064351008054
"AT2G34680","AIR9","AT2G34680",0.0723007687536736
"AT3G27560","ATN1","AT3G27560",0.0723007429749469
"AT5G03380","None","AT5G03380",0.0722996107150028
"AT4G12420","SKU5","AT4G12420",0.0722835265012214
"AT5G08430","None","AT5G08430",0.0722835265012214
"AT1G03900","NAP4","AT1G03900",0.0722827805196557
"AT5G35080","OS9","AT5G35080",0.0722827805196557
"AT4G02480","None","AT4G02480",0.0722826214614636
"AT5G47620","None","AT5G47620",0.0722793131847862
"AT5G08300","None","AT5G08300",0.0722704613512503
"AT3G18130","RACK1C_AT","AT3G18130",0.0722660203006347
"AT5G13280","AK1","AT5G13280",0.0722660203006347
"AT2G38780","None","AT2G38780",0.0722609839987276
"AT2G07340","PFD1","AT2G07340",0.0722550938721202
"AT2G41420","WIH2","AT2G41420",0.0722550938721202
"AT3G63520","NCED1","AT3G63520",0.0722495050523831
"AT1G05520","ATSEC23B","AT1G05520",0.0722383411403618
"AT5G45420","MAMYB","AT5G45420",0.0722364280002227
"AT3G46830","RABA2C","AT3G46830",0.0722223852225307
"AT3G04920","None","AT3G04920",0.0722159597666224
"AT3G27420","None","AT3G27420",0.0722159597666224
"AT4G21430","B160","AT4G21430",0.0721909485080458
"AT3G07030","None","AT3G07030",0.0721807340904338
"AT1G69070","None","AT1G69070",0.0721798553493096
"AT1G02970","WEE1","AT1G02970",0.0721663963217933
"AT1G51055","None","AT1G51055",0.0721663963217933
"AT3G21580","ABCI12","AT3G21580",0.0721663963217933
"AT5G19830","None","AT5G19830",0.0721605072157337
"AT3G19840","PRP40C","AT3G19840",0.0721595892116521
"AT1G08130","LIG1","AT1G08130",0.0721574319605769
"AT3G16785","PLDZETA1","AT3G16785",0.0721574319605769
"AT5G22850","None","AT5G22850",0.0721398748080007
"AT1G15570","CYCA2;3","AT1G15570",0.0721380418862928
"AT1G80680","SAR3","AT1G80680",0.0721361378258422
"AT4G16700","PSD1","AT4G16700",0.0721361378258422
"AT1G20300","None","AT1G20300",0.0721309358096071
"AT1G79890","None","AT1G79890",0.0721309358096071
"AT4G32800","None","AT4G32800",0.0721309358096071
"AT2G25110","SDF2","AT2G25110",0.0721251100392453
"AT2G36890","RAX2","AT2G36890",0.0721242380738921
"AT2G46620","None","AT2G46620",0.0721242380738921
"AT4G21445","CRR9","AT4G21445",0.0721242380738921
"AT5G07460","PMSR2","AT5G07460",0.0721242380738921
"AT5G62520","SRO5","AT5G62520",0.0721242380738921
"AT3G16400","NSP1","AT3G16400",0.072095807743482
"AT5G28913","None","AT5G28913",0.072095807743482
"AT4G27780","ATACBP2","AT4G27780",0.0720942972612099
"AT1G03140","PRP18A","AT1G03140",0.0720897522058355
"AT3G13230","None","AT3G13230",0.0720895832314522
"AT5G27670","HTA7","AT5G27670",0.0720680752796664
"AT1G16610","SR45","AT1G16610",0.0720672751216873
"AT4G12800","PSAL","AT4G12800",0.0720671317122391
"AT1G31485","None","AT1G31485",0.0720639061412311
"AT1G71230","CSN5B","AT1G71230",0.0720639061412311
"AT3G00650","None","AT3G00650",0.0720639061412311
"AT3G19580","ZF2","AT3G19580",0.0720639061412311
"AT5G46080","None","AT5G46080",0.0720639061412311
"AT4G10620","None","AT4G10620",0.0720402058072411
"AT4G38710","None","AT4G38710",0.0720251200486896
"AT3G02730","TRXF1","AT3G02730",0.0720228261725553
"AT4G05420","DDB1A","AT4G05420",0.0720228261725553
"AT4G08170","ITPK3","AT4G08170",0.0720228261725553
"AT2G43360","BIOB","AT2G43360",0.0720175093798661
"AT5G52780","None","AT5G52780",0.0720115480371537
"AT5G59732","None","AT5G59732",0.0720115480371537
"AT3G23600","None","AT3G23600",0.0719986392158267
"AT2G15890","MEE14","AT2G15890",0.0719963530648836
"AT2G26350","PEX10","AT2G26350",0.0719963530648836
"AT5G35840","PHYC","AT5G35840",0.0719963530648836
"AT5G02960","None","AT5G02960",0.0719902745803562
"AT4G01730","None","AT4G01730",0.0719865065167801
"AT2G37770","CHLAKR","AT2G37770",0.0719829891126613
"AT3G22070","None","AT3G22070",0.0719829891126613
"AT3G01800","None","AT3G01800",0.071971863256507
"AT2G44820","None","AT2G44820",0.0719660678326614
"AT2G32230","PRORP1","AT2G32230",0.0719527608371342
"AT3G01850","None","AT3G01850",0.0719527608371342
"AT3G07590","SMD1A","AT3G07590",0.0719527608371342
"AT3G53540","TRM19","AT3G53540",0.0719514526089361
"AT3G58520","None","AT3G58520",0.0719384166515379
"AT1G57620","CYB","AT1G57620",0.0719283530169486
"AT1G22860","VPS3","AT1G22860",0.0719278083473017
"AT5G45710","RHA1","AT5G45710",0.0719174914112551
"AT1G09515","None","AT1G09515",0.0719073819482385
"AT5G44740","POLH","AT5G44740",0.0719035794648536
"AT1G12680","PEPKR2","AT1G12680",0.0719023616494814
"AT5G64640","None","AT5G64640",0.0719023616494814
"AT1G05140","None","AT1G05140",0.0718945349962753
"AT1G61415","None","AT1G61415",0.0718945349962753
"AT5G20660","None","AT5G20660",0.0718922001227394
"AT2G43090","IPMI","AT2G43090",0.0718846283065507
"AT1G21280","None","AT1G21280",0.0718767844361361
"AT4G31050","LIP2","AT4G31050",0.0718767844361361
"AT3G59020","None","AT3G59020",0.0718686991273779
"AT5G38480","RCI1","AT5G38480",0.0718686991273779
"AT2G25270","None","AT2G25270",0.0718644776597592
"AT1G56290","None","AT1G56290",0.0718611265511422
"AT2G17410","ARID2","AT2G17410",0.0718611265511422
"AT1G48200","None","AT1G48200",0.0718565277040796
"AT2G21070","FIO1","AT2G21070",0.0718565277040796
"AT3G13620","PUT4","AT3G13620",0.0718565277040796
"AT4G26060","None","AT4G26060",0.0718565277040796
"AT1G69670","CUL3B","AT1G69670",0.0718504607814702
"AT1G72730","None","AT1G72730",0.0718504607814702
"AT2G28105","None","AT2G28105",0.0718504607814702
"AT3G09320","None","AT3G09320",0.0718504607814702
"AT3G63540","None","AT3G63540",0.0718504607814702
"AT4G01220","MGP4","AT4G01220",0.0718504607814702
"AT4G02885","None","AT4G02885",0.0718504607814702
"AT5G51280","None","AT5G51280",0.0718504607814702
"AT5G42050","NRP","AT5G42050",0.07183924429461
"AT1G17440","TAF12B","AT1G17440",0.0718354004880471
"AT4G18820","None","AT4G18820",0.0718348995473062
"AT3G08000","None","AT3G08000",0.0718307766274059
"AT3G16110","PDIL1-6","AT3G16110",0.0718192060316611
"AT3G52940","HYD2","AT3G52940",0.0718192060316611
"AT2G38090","None","AT2G38090",0.071818483318515
"AT3G06300","P4H2","AT3G06300",0.071818483318515
"AT5G48620","None","AT5G48620",0.0718103683967353
"AT1G61240","None","AT1G61240",0.0718096140935498
"AT4G15570","MAA3","AT4G15570",0.0718096140935498
"AT2G47450","CPSRP43","AT2G47450",0.0718018553230964
"AT1G15215","SHH1","AT1G15215",0.071800005078651
"AT2G40420","None","AT2G40420",0.071800005078651
"AT3G13226","None","AT3G13226",0.071800005078651
"AT4G32890","GATA9","AT4G32890",0.071800005078651
"AT4G34350","ISPH","AT4G34350",0.071800005078651
"AT5G61940","None","AT5G61940",0.071800005078651
"AT5G26160","PMIR2","AT5G26160",0.0717932293325396
"AT3G58750","CSY2","AT3G58750",0.0717565408587526
"AT3G61140","SK31","AT3G61140",0.0717565408587526
"AT1G03365","None","AT1G03365",0.0717564114207564
"AT3G07660","None","AT3G07660",0.0717457358235289
"AT2G01690","VAC1","AT2G01690",0.0717454375606758
"AT4G24270","EMB140","AT4G24270",0.0717447347982944
"AT1G05600","EMB3101","AT1G05600",0.0717435340493099
"AT2G07835","None","AT2G07835",0.0717435340493099
"AT2G16530","PPRD2","AT2G16530",0.0717435340493099
"AT4G10640","IQD16","AT4G10640",0.0717435340493099
"AT4G13630","None","AT4G13630",0.0717435340493099
"AT5G16870","None","AT5G16870",0.0717435340493099
"AT5G17000","None","AT5G17000",0.0717435340493099
"AT1G50950","None","AT1G50950",0.0717239555527147
"AT2G47970","None","AT2G47970",0.0717239555527147
"AT1G18190","GC2","AT1G18190",0.0717159892001104
"AT4G32270","None","AT4G32270",0.0717145649292839
"AT1G48650","None","AT1G48650",0.0717038920259805
"AT4G11240","TOPP7","AT4G11240",0.071694854269346
"AT2G26280","CID7","AT2G26280",0.0716858770791402
"AT1G10200","WLIM1","AT1G10200",0.071676966545214
"AT2G38010","ATNCER2","AT2G38010",0.0716754915569845
"AT1G07480","None","AT1G07480",0.0716715625011656
"AT1G20260","VAB3","AT1G20260",0.0716648706704956
"AT4G23885","None","AT4G23885",0.0716613489674388
"AT1G65540","LETM2","AT1G65540",0.0716493655799341
"AT2G41890","None","AT2G41890",0.0716493655799341
