"","symbol","tair","top_spear_cor"
"AT5G59700","None","AT5G59700",0.21981688488057
"AT5G60760","None","AT5G60760",0.21981688488057
"AT5G66658","None","AT5G66658",0.21981688488057
"AT5G14410","None","AT5G14410",0.219045953522231
"AT5G41010","NRPE12","AT5G41010",0.218924704344441
"AT5G61120","None","AT5G61120",0.218846395722805
"AT3G58770","None","AT3G58770",0.217428814078729
"AT4G06705","None","AT4G06705",0.216712261552395
"AT2G24700","None","AT2G24700",0.216226624107346
"AT2G02780","None","AT2G02780",0.216002995423529
"AT4G31610","REM34","AT4G31610",0.214159231412039
"AT2G23910","None","AT2G23910",0.213960347641938
"AT1G55260","LTPG6","AT1G55260",0.213616935005262
"AT1G06360","None","AT1G06360",0.213088073441566
"AT5G57800","YRE","AT5G57800",0.212549345428496
"AT2G04215","None","AT2G04215",0.212362399571696
"AT2G19900","NADP-ME1","AT2G19900",0.212233143076201
"AT4G28190","ULT1","AT4G28190",0.212233143076201
"AT4G28680","TYRDC1","AT4G28680",0.211470201346475
"AT4G35070","None","AT4G35070",0.211186166759955
"AT5G08110","HRQ1","AT5G08110",0.210789102783441
"AT1G70740","None","AT1G70740",0.209756964809318
"AT5G65170","None","AT5G65170",0.209756964809318
"AT3G11402","None","AT3G11402",0.209655471352517
"AT1G08770","PRA1.E","AT1G08770",0.20958177324001
"AT1G11300","EGM1","AT1G11300",0.20958177324001
"AT1G52620","PPR19","AT1G52620",0.20958177324001
"AT2G11140","None","AT2G11140",0.20958177324001
"AT3G28560","None","AT3G28560",0.20958177324001
"AT3G60670","None","AT3G60670",0.20958177324001
"AT3G62430","None","AT3G62430",0.20958177324001
"AT5G13860","VPS32.1","AT5G13860",0.20958177324001
"AT5G56150","UBC30","AT5G56150",0.20958177324001
"AT1G23000","None","AT1G23000",0.209268343374186
"AT1G69640","SBH1","AT1G69640",0.208261033024603
"AT3G62770","PEUP2","AT3G62770",0.208261033024603
"AT3G25560","NIK2","AT3G25560",0.208151832177538
"AT1G34640","None","AT1G34640",0.208043353991741
"AT1G45010","None","AT1G45010",0.207819980391458
"AT5G10510","PLT3","AT5G10510",0.206891521105953
"AT3G43720","LTPG2","AT3G43720",0.20599618962081
"AT3G21090","ABCG15","AT3G21090",0.204134126569933
"AT4G18970","None","AT4G18970",0.203499875519573
"AT1G26740","None","AT1G26740",0.203450394360016
"AT2G14775","None","AT2G14775",0.203450394360016
"AT3G28910","MYB30","AT3G28910",0.203114545550786
"AT3G25670","None","AT3G25670",0.202719787562123
"AT5G53200","TRY","AT5G53200",0.202719787562123
"AT4G35840","None","AT4G35840",0.202411157901903
"AT4G30520","SARK","AT4G30520",0.201217608403767
"AT1G68530","POP1","AT1G68530",0.201200118196643
"AT3G27380","SDH2-1","AT3G27380",0.201159081290211
"AT4G05400","None","AT4G05400",0.201159081290211
"AT1G26680","None","AT1G26680",0.201041526803394
"AT4G31640","None","AT4G31640",0.201041526803394
"AT5G15310","MYB16","AT5G15310",0.200935889711179
"AT5G26230","MAKR1","AT5G26230",0.200392561446805
"AT1G03120","RAB28","AT1G03120",0.200322210139845
"AT1G08860","BON3","AT1G08860",0.200322210139845
"AT1G26900","None","AT1G26900",0.200322210139845
"AT1G29330","ERD2","AT1G29330",0.200322210139845
"AT1G80570","None","AT1G80570",0.200322210139845
"AT2G21510","None","AT2G21510",0.200322210139845
"AT2G24310","None","AT2G24310",0.200322210139845
"AT2G42610","LSH10","AT2G42610",0.200322210139845
"AT3G62260","None","AT3G62260",0.200322210139845
"AT4G17098","None","AT4G17098",0.200322210139845
"AT5G54530","None","AT5G54530",0.200322210139845
"AT5G60630","None","AT5G60630",0.200322210139845
"AT2G43690","LECRK-V.3","AT2G43690",0.199880983946055
"AT5G15300","None","AT5G15300",0.199880983946055
"AT5G17360","None","AT5G17360",0.199880983946055
"AT5G60900","RLK1","AT5G60900",0.199880983946055
"AT3G16500","PAP1","AT3G16500",0.19966727985201
"AT1G26780","MYB117","AT1G26780",0.199312017477437
"AT1G47830","AP2S","AT1G47830",0.198938476997168
"AT5G57130","SMXL5","AT5G57130",0.198889041248626
"AT1G55200","None","AT1G55200",0.198221701163077
"AT1G62030","None","AT1G62030",0.197672324940228
"AT4G31620","REM36","AT4G31620",0.197646400101348
"AT5G59790","SOK5","AT5G59790",0.197557939352387
"AT5G22500","FAR1","AT5G22500",0.197049199500706
"AT4G14965","MAPR4","AT4G14965",0.196784966094297
"AT3G23450","None","AT3G23450",0.195268763325922
"AT4G30470","None","AT4G30470",0.195232034905071
"AT5G47380","None","AT5G47380",0.195232034905071
"AT3G55110","ABCG18","AT3G55110",0.195084432707959
"AT5G55620","None","AT5G55620",0.194731375964225
"AT1G51130","None","AT1G51130",0.19469518720678
"AT4G23760","None","AT4G23760",0.19469518720678
"AT1G10640","None","AT1G10640",0.194460950014963
"AT3G18930","None","AT3G18930",0.19389281589992
"AT2G41540","GPDHC1","AT2G41540",0.193778530230772
"AT5G13400","None","AT5G13400",0.193102918604873
"AT4G37740","GRF2","AT4G37740",0.192887477244508
"AT1G51500","WBC12","AT1G51500",0.192875481341674
"AT5G20540","BRXL4","AT5G20540",0.19274657346931
"AT2G18400","None","AT2G18400",0.192666010463926
"AT4G00200","AHL7","AT4G00200",0.192666010463926
"AT5G03970","None","AT5G03970",0.192666010463926
"AT4G29020","None","AT4G29020",0.192544776460523
"AT1G10520","POL{LAMBDA}","AT1G10520",0.192139217745196
"AT1G37150","HCS2","AT1G37150",0.192139217745196
"AT2G07776","None","AT2G07776",0.192139217745196
"AT2G22770","NAI1","AT2G22770",0.192139217745196
"AT2G30520","RPT2","AT2G30520",0.192139217745196
"AT2G37960","None","AT2G37960",0.192139217745196
"AT4G19200","None","AT4G19200",0.192139217745196
"AT5G01750","None","AT5G01750",0.191724568861118
"AT1G26190","TTM2","AT1G26190",0.191721567422662
"AT2G27920","SCPL51","AT2G27920",0.190775573869452
"AT5G64910","None","AT5G64910",0.190090624755996
"AT2G18500","OFP7","AT2G18500",0.189958727293028
"AT5G08000","PDCB2","AT5G08000",0.189786433634429
"AT5G23820","ML3","AT5G23820",0.189206638931911
"AT5G57300","COQ5","AT5G57300",0.188777982847816
"AT2G15090","KCS8","AT2G15090",0.188340317678737
"AT5G43760","KCS20","AT5G43760",0.188269500779483
"AT4G22570","APT3","AT4G22570",0.188257243117961
"AT3G55130","WBC19","AT3G55130",0.187750155157596
"AT5G13930","TT4","AT5G13930",0.187690920628814
"AT2G22960","FPT2","AT2G22960",0.187510697747365
"AT5G41810","None","AT5G41810",0.187357827526856
"AT4G06220","None","AT4G06220",0.18728515544332
"AT1G10470","MEE7","AT1G10470",0.187057248206102
"AT1G66740","SP7","AT1G66740",0.186913858935023
"AT3G03150","None","AT3G03150",0.186913858935023
"AT3G05940","None","AT3G05940",0.186913858935023
"AT1G15260","None","AT1G15260",0.186877477067834
"AT1G73360","HDG11","AT1G73360",0.18648973316226
"AT2G35310","REM23","AT2G35310",0.186383937404577
"AT1G02065","SPL8","AT1G02065",0.185956223060374
"AT2G37080","RIP3","AT2G37080",0.185626339971106
"AT1G17070","STIPL1","AT1G17070",0.185099760358629
"AT3G44100","None","AT3G44100",0.185099760358629
"AT5G39950","TRXH2","AT5G39950",0.185099760358629
"AT5G59150","RABA2D","AT5G59150",0.185099760358629
"AT1G03950","VPS2.3","AT1G03950",0.18483734893007
"AT1G05690","BT3","AT1G05690",0.18483734893007
"AT1G12970","PIRL3","AT1G12970",0.18483734893007
"AT2G14825","None","AT2G14825",0.18483734893007
"AT3G51990","None","AT3G51990",0.18483734893007
"AT5G08150","SOB5","AT5G08150",0.18483734893007
"AT3G62610","PFG2","AT3G62610",0.18455094211418
"AT3G61970","NGA2","AT3G61970",0.184475710990443
"AT1G64220","TOM7-2","AT1G64220",0.184327750115361
"AT2G31220","BHLH010","AT2G31220",0.184327750115361
"AT3G13210","None","AT3G13210",0.184327750115361
"AT1G29357","None","AT1G29357",0.18426432100355
"AT4G39240","None","AT4G39240",0.18426432100355
"AT1G26730","None","AT1G26730",0.184096198539828
"AT1G52190","NRT1.11","AT1G52190",0.183866957630153
"AT4G35030","None","AT4G35030",0.183785961865522
"AT1G80920","TOC12","AT1G80920",0.183333451354133
"AT1G65060","4CL3","AT1G65060",0.182588199725346
"AT3G60070","None","AT3G60070",0.182202447163515
"AT2G41110","CAM2","AT2G41110",0.181612833831504
"AT3G28760","None","AT3G28760",0.181612833831504
"AT4G21620","None","AT4G21620",0.180689919213134
"AT1G21460","SWEET1","AT1G21460",0.180538067324444
"AT5G07990","TT7","AT5G07990",0.18020328583266
"AT1G55580","SCL18","AT1G55580",0.180170077643921
"AT3G02832","None","AT3G02832",0.17992607465191
"AT5G16560","KAN1","AT5G16560",0.179493267275882
"AT5G49700","AHL17","AT5G49700",0.179012480984748
"AT1G12810","None","AT1G12810",0.178300905933137
"AT1G29820","None","AT1G29820",0.178267531401317
"AT1G55630","None","AT1G55630",0.178267531401317
"AT2G01410","None","AT2G01410",0.178267531401317
"AT2G22560","NET2D","AT2G22560",0.178267531401317
"AT3G27540","None","AT3G27540",0.178267531401317
"AT4G04700","CPK27","AT4G04700",0.178267531401317
"AT4G17550","G3PP4","AT4G17550",0.178267531401317
"AT4G37660","None","AT4G37660",0.178267531401317
"AT5G11110","SPSA2","AT5G11110",0.178267531401317
"AT5G55740","CRR21","AT5G55740",0.178267531401317
"AT1G01470","LSR3","AT1G01470",0.177910403038278
"AT1G04360","ATL1","AT1G04360",0.177910403038278
"AT1G05680","UGT74E2","AT1G05680",0.177869381953279
"AT4G29150","IQD25","AT4G29150",0.177518626730426
"AT1G76680","OPR1","AT1G76680",0.177149580534481
"AT5G07180","ERL2","AT5G07180",0.177000052014395
"AT3G61250","MYB17","AT3G61250",0.176906374411771
"AT1G09815","POLD4","AT1G09815",0.176705996184636
"AT4G27340","TRM5B","AT4G27340",0.176705996184636
"AT3G50780","None","AT3G50780",0.176582535235183
"AT1G33470","None","AT1G33470",0.175986610376006
"AT1G19670","CORI1","AT1G19670",0.175929644106154
"AT3G51600","LTP5","AT3G51600",0.175837542031035
"AT3G29634","None","AT3G29634",0.17582673510401
"AT4G23600","JR2","AT4G23600",0.175718856381207
"AT4G02440","EID1","AT4G02440",0.175149562326568
"AT4G31890","None","AT4G31890",0.175149562326568
"AT5G50460","None","AT5G50460",0.175149562326568
"AT5G40380","CRK42","AT5G40380",0.175102695786692
