"","cluster_1","cluster_4","cluster_0","cluster_5","cluster_3","cluster_8","cluster_12","cluster_7","cluster_6","cluster_2","cluster_11","cluster_10","cluster_9"
"103",0.172791486886425,0.135720691312539,0.193419649209344,0.0781351291534043,0.120079266960324,0.0348176875727677,0.0105920769445839,0.0362964447947428,0.0427917447389145,0.101443516516386,0.0265760171436077,0.0329954463690321,0.0143547952695968
"104",0.160572236392433,0.106368057876306,0.226444257021676,0.0702263306652465,0.111172817429182,0.0319187273562819,0.0087353605022184,0.054082568897325,0.0307740527689887,0.120266519022116,0.0298676228849308,0.0343478263512483,0.0152080337515829
"105",0.174540730913445,0.128895290549415,0.194036133961911,0.0751509693655333,0.121241887741011,0.0332962922775853,0.0100664125052096,0.0379481869632345,0.0396279641086249,0.108149159034507,0.0290238172054181,0.0343410504793096,0.0136773347094273
"106",0.179864650680314,0.128604977525541,0.18925755341844,0.0764154189640446,0.121863715794838,0.0352848580567658,0.00993189198564575,0.0379281700147082,0.039171408980179,0.108521728740943,0.0276382645538712,0.0319786076325125,0.0135416399405884
"107",0.168295499321305,0.134565539897917,0.198531762164245,0.0758364741226776,0.120295963244611,0.0329769117429959,0.0105548473959702,0.0364186882772336,0.0424030388964242,0.102062166227122,0.0282704276215452,0.0353422344196876,0.0144346576830779
"108",0.152527211409529,0.108714634895636,0.235113619847577,0.0703392606077689,0.110566261457796,0.031568603984671,0.00901355414671076,0.0520568078164146,0.0330753372196074,0.115256906527255,0.0301219452405149,0.0354074401146492,0.0162448199622307
"109",0.148032507784885,0.11030415460647,0.239671723023502,0.0705296707989931,0.110137587150152,0.031356952873536,0.00920127166117316,0.0509534218689693,0.0344581759359624,0.112352206338014,0.0301723726766883,0.0359914580528597,0.0168397088575817
"110",0.151436047684059,0.116817924240126,0.216958351630756,0.0736854858156473,0.114709724001431,0.0323313620844315,0.00919191902108794,0.056756450024726,0.0341814362522722,0.118767848607251,0.027550399218975,0.0332697257513069,0.0143734444877732
"111",0.171132056465558,0.118950104445346,0.204504098315204,0.0747448841317487,0.109556152338259,0.0398421920288736,0.0136187237601596,0.0366958181556741,0.0344329692878775,0.126056401420677,0.0280508699369415,0.0276208345780064,0.0147820416753387
"112",0.17461387212019,0.133111996889996,0.192814011484434,0.0774015033705315,0.12074828542805,0.0349586335786697,0.0103525348818678,0.0367955986690653,0.0415563506314576,0.103703640093877,0.0270632541603888,0.0327226854542956,0.0141379299354889
"113",0.17201457205616,0.130834739676432,0.196060475492985,0.0753079949584437,0.120960152706018,0.0331831260636803,0.0102313909642582,0.0373731014683905,0.0406155307802371,0.105889076647702,0.0288307902185329,0.034730985078308,0.0139755221343255
"114",0.161833465536651,0.126872324563554,0.204755784745941,0.0746013829059354,0.120770991827264,0.0341362615236595,0.010207454456742,0.0388066757905334,0.0394654865161271,0.108650748332677,0.028575169776814,0.0360141609083826,0.0152999206773857
"115",0.168961328230213,0.133851825052221,0.198109836674228,0.0757206272185412,0.120459469159372,0.0330273250929922,0.0104882654695357,0.0365865795265056,0.0420621362471145,0.102784089327325,0.028394196374403,0.0352315460259618,0.0143468431666645
"116",0.167598173985707,0.135644902563301,0.198735866692971,0.0760625535025815,0.120118662353873,0.0329328979526595,0.0106454162663247,0.0361885773498373,0.0428754609987459,0.101155940207083,0.0280721027182282,0.0354538216811576,0.0145199614930296
"117",0.188135811447455,0.119192124331668,0.199110932692988,0.0748006620707092,0.106499730952632,0.0368833436088592,0.0137998138766638,0.0362511351763926,0.0392246473283837,0.115601327905841,0.0254155912778516,0.028504698633467,0.0165709223817032
"118",0.173656971206204,0.134338986222195,0.193224234895462,0.0777303388500219,0.120442343870769,0.0348881884521286,0.0104642090960946,0.0365493814316181,0.0421486549889186,0.1025735927436,0.0268476088187067,0.0328663868886965,0.0142523407932406
"119",0.174581992973828,0.117133290277788,0.212340994814311,0.0717009304574854,0.105589653294394,0.0411357708712964,0.0165576717598882,0.0372481291305608,0.0357107701584432,0.120310430485236,0.0243574098327702,0.0281506403486888,0.0151615344288914
"120",0.146517879799127,0.110981543756775,0.241022976071103,0.0706521725322233,0.110024383617956,0.0312904270851624,0.00927309084716461,0.0505591868014478,0.0349787020671176,0.11130760551286,0.0301644381825717,0.0361739720936364,0.0170340536598112
"121",0.144086207722054,0.112219211564133,0.243038320248261,0.0709022983257805,0.109824766624029,0.031190735063808,0.00940747905598721,0.0499365358122386,0.0358783645419518,0.109607842614177,0.0301139304245564,0.0364480191987622,0.017337688512086
"122",0.154329348911212,0.115468212989879,0.214485464138947,0.0733582060039519,0.114903836957839,0.0324616464234542,0.00906011590051536,0.0575032034633984,0.0332190359792708,0.120737784013434,0.027542328816533,0.0328824033955802,0.0140579745346741
