"x","y","z","volume","id","AT1G19850","AT1G24260","AT1G30490","AT1G62360","AT1G69120","AT1G76420","AT1G80100","AT2G17950","AT2G27250","AT2G33860","AT2G34710","AT2G37630","AT2G45190","AT3G15170","AT3G54340","AT4G18960","AT4G21750","AT4G36920","AT4G37750","AT5G20240","AT5G53950","AT5G60690","AT5G61850"
"174",35.9768,57.3518,16.3655,462.987,"174",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"175",52.0815,53.6072,11.4734,236.677,"175",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"176",85.6209,75.4876,14.6264,87.5452,"176",1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
"177",39.0132,90.8362,13.7149,377.215,"177",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"178",48.0953,71.8324,16.2405,350.777,"178",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"180",88.1702,58.9887,13.8659,79.7748,"180",0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"181",26.4117,74.1517,15.7607,115.194,"181",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"182",82.6116,87.4051,16.6913,222.535,"182",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"183",75.1659,87.4795,17.0856,284.042,"183",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"184",85.4036,55.5785,17.1164,244.869,"184",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"185",92.5753,61.5184,15.3843,89.8726,"185",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"186",33.3547,86.6356,15.9961,203.377,"186",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"187",39.6841,70.5098,15.4707,284.363,"187",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"188",19.7018,59.0046,16.9478,418.432,"188",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"189",48.1889,50.9775,13.9421,35.476,"189",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"190",48.6839,65.7088,14.8636,104.433,"190",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"191",66.3029,84.8819,16.6682,137.332,"191",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"192",70.7814,84.6533,17.7469,202.902,"192",1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"193",82.7494,67.486,16.5329,162.892,"193",1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
"195",95.2129,57.0973,14.2456,115.439,"195",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"196",72.5193,43.0686,16.7847,320.321,"196",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"197",79.2341,92.4199,17.3177,190.88,"197",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"198",43.1066,88.1971,18.2131,378.603,"198",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"199",63.9334,71.5665,18.3506,275.049,"199",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"200",68.9844,79.6364,16.7957,177.165,"200",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"201",81.0853,42.012,16.0746,185.667,"201",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"202",86.8518,49.3626,13.4366,452.882,"202",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"203",50.6309,91.9962,17.3925,233.798,"203",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"204",75.4857,62.8792,16.2354,211.838,"204",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"205",47.0454,55.2577,18.7863,330.917,"205",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"206",100.741,59.8354,16.8173,105.96,"206",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"208",90.341,66.5865,17.1232,125.473,"208",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1
"209",53.5741,99.0729,18.1549,331.804,"209",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"210",53.6432,51.6047,17.7126,347.348,"210",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"211",70.6023,74.4604,18.3176,261.331,"211",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"212",40.7568,44.3873,17.8551,210.367,"212",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"213",74.4893,79.5496,18.4139,251.678,"213",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"214",103.35,43.212,15.6459,503.22,"214",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"215",24.0845,70.6473,18.9559,289.33,"215",1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
"216",59.7802,99.5802,15.818,248.449,"216",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"217",98.1413,38.2623,19.4489,333.897,"217",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"218",33.5474,50.7812,17.1519,81.3101,"218",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"219",50.4262,85.4428,18.7414,257.193,"219",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"220",63.8897,76.8175,16.2463,152.579,"220",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"221",84.2641,80.0076,17.2648,139.445,"221",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1
"222",94.5929,64.2762,18.4069,188.772,"222",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1
"223",29.847,58.4791,16.184,26.4684,"223",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"224",43.569,95.3601,19.3357,245.009,"224",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"225",56.7842,79.9595,13.4174,584.213,"225",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"226",90.1909,40.9302,16.8922,266.17,"226",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"227",57.4857,88.3815,18.4905,331.589,"227",1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"228",92.3669,47.1905,20.9545,291.748,"228",1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"229",73.323,58.2814,18.0254,75.7463,"229",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"230",104.172,36.1932,17.4164,76.9345,"230",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"231",38.2384,76.38,18.2177,161.394,"231",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"232",68.1376,91.6135,19.6257,310.488,"232",1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"233",80.6659,62.1083,19.566,160.843,"233",1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
"234",105.367,50.2428,19.317,206.066,"234",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"235",35.3675,65.2989,19.1223,121.041,"235",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"236",58.9995,64.6699,18.2136,202.683,"236",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"237",76.5306,71.6387,18.5543,238.031,"237",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"238",86.1986,71.1967,16.9859,46.4413,"238",1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
"239",76.178,50.3368,17.2461,104.625,"239",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"240",54.3351,47.7738,14.2321,319.122,"240",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"241",99.733,47.7348,19.2434,161.247,"241",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"242",31.1173,72.9665,16.5937,181.808,"242",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"243",37.6135,84.2894,19.6988,126.178,"243",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"244",53.778,64.8064,19.925,261.772,"244",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"245",84.7019,62.2659,17.5148,83.8185,"245",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"246",54.3373,75.1002,19.1438,171.334,"246",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"247",78.3567,45.0021,21.2823,502.832,"247",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"248",30.669,81.8276,19.6128,187.289,"248",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1
